Category,Word,POS,Meaning,Example,Extra
自然地理,atmosphere,n.,大气层；氛围,The approaching examination created a tense atmosphere on the campus,
自然地理,hydrosphere,n.,水圈；大气中的水汽,All the water in the earth's surface is included in the hydrosphere,
自然地理,lithosphere,n.,岩石圈,The lithosphere and the hydrosphere together form the earth's surface,
自然地理,oxygen,n.,氧气,,
自然地理,oxide,n.,氧化物,,
自然地理,carbon dioxide,n.,二氧化碳,,
自然地理,hydrogen,n.,氢气,,
自然地理,core,n.,中心；核心；地核,,
自然地理,crust,n.,地壳；外壳,The crust on the snow was thick enough for us to walk on it,
自然地理,mantle,n./v.,地幔；斗篷；披风；覆盖,Parents often use mantles for their babies to keep warm,
自然地理,longitude,n.,经度,,
自然地理,latitude,n.,维度,,
自然地理,horizon,n.,地平线；[~s]眼界；见识,,horizontal adj. 水平的。broaden sb.'s horizons 开阔眼界
自然地理,altitude,n.,海拔；高度,,
自然地理,disaster,n.,灾难,There was a great flood disaster in East China,a disaster film/movie 灾难片
自然地理,mishap,n.,小灾难,A mishap prevented him from attending the routine company meeting,
自然地理,catastrophic,adj.,灾难性的,"If the forecast had been wrong, the consequences could have been catastrophic",
自然地理,calamity,n.,灾难；不幸的事,A hurricane would be a calamity for this low-lying coastal region,cause a calamity 酿成灾祸
自然地理,endanger,v.,使遭受危险；危及,"If you are work hard without reset, you will endanger your health",endangered adj. 濒临灭绝
自然地理,jeopardise/jeopardize,v.,危害；危及,"If you are rude to the boss, your chances of success may be jeopardised",jeopardise sb.'s life 危及某人生命
自然地理,destructive,adj.,破坏性的；有害的,Jealousy is an extremely destructive emotion,
自然地理,El Nino,n.,厄尔尼诺现象,,
自然地理,greenhouse,n.,温室；暖房,,
自然地理,phenomenon,n.,现象,Snow is an almost unknown phenomenon in Egypt,复数形式：phenomena；a natural phenomenon 自然现象；a social phenomenon 社会现象
自然地理,pebble,n.,鹅卵石,,
自然地理,magnet,n.,磁铁；吸铁石,He picked all the pins up with a magnet,magnetic adj./词的，有磁性的；有吸引力的
自然地理,ore,n.,矿石；矿,,
自然地理,mineral,n.,矿物；矿物质；矿场,,
自然地理,marble,n.,大理石,,
自然地理,quartz,n.,石英,,
自然地理,granite,n.,花岗岩,,bit on granite 白费力气；徒劳无功
自然地理,gust,n.,一整狂风；（情感的）迸发,A gust of wind blew the leaves off the trees,
自然地理,breeze,n.,微分；和风,,
自然地理,monsoon,n.,季风；雨季,,
自然地理,gale,n.,大风,,
自然地理,hurricane,n.,飓风；暴风,,
自然地理,tornado,n.,龙卷风,,
自然地理,typhoon,n.,台风,,
自然地理,volcano,n.,火山,,
自然地理,erupt,v.,爆发；喷发；（斑疹等）突然出现,,
自然地理,magma,n.,岩浆,,
自然地理,thermodynamic,adj.,热力的；热力学的,,
自然地理,smog,n.,烟雾；雾霾,,
自然地理,fume,n./v.,（难闻有害的）烟，气体,Petrol fumes from cars are poisoning the atmosphere,
自然地理,mist,n.,薄雾；水汽；使视线模糊的东西,,
自然地理,tsunami,n.,海啸,,
自然地理,drought,n.,干旱；旱灾,,
自然地理,flooding,n.,洪水泛滥,,
自然地理,torrent,n.,激流；洪流,,
自然地理,earthquake,n.,地震,,
自然地理,seismic,adj.,地震的；地震引起的,,
自然地理,avalanche,n.,雪崩,,
自然地理,terrain,n.,地形,,
自然地理,landscape,n./v.,风景；地貌；对...进行景观美化,,
自然地理,continent,n.,大陆；洲,,
自然地理,cave,n.,洞穴；山洞,,
自然地理,cliff,n.,悬崖；峭壁,,
自然地理,glacier,n.,冰川；冰河,,
自然地理,swamp,n.,沼泽；湿地,,
自然地理,delta,n.,三角洲,,
自然地理,plain,n./adj.,平原；简朴的；明白的,,
自然地理,plateau,n.,高原,,
自然地理,oasis,n.,绿洲；宜人之地,,
自然地理,globe,n.,球体；地球仪,,
自然地理,hemisphere,n.,半球,,
自然地理,equator,n.,赤道,,
自然地理,arctic,adj./n.,北极的；极冷的；北极地区；北极,,
自然地理,Antarctic,adj./n.,南极的；南极地区；南极洲,,
自然地理,pole,n.,（地）极；截然相反的两极之一,English is spoken from pole to pole,the South Pole 南极
自然地理,polar,adj.,极地的；近极地的；对立的,"In these polar region, the balance of nature has already been disrupted",a polar bear 北极熊；polarize v. 使两极分化
自然地理,axis,n.,轴；轴线,The earth's axis is the line between the North and South Poles,
自然地理,deteriorate,v.,恶化；变坏,,
自然地理,aggravate,v.,加重；加剧；使恶化,,
自然地理,degrade,v.,降解；降低...身份；使恶化；使退化,,
自然地理,upgrade,v.,使升级；提高；改善,,
自然地理,erode,v.,侵蚀；腐蚀,The waves erode the rocks on the shore,erosion n. 侵蚀；腐蚀
自然地理,Mediterranean,adj./n.,地中海的；地中海地区的；地中海；地中海地区,,
自然地理,Atlantic,n.,大西洋,,
自然地理,pacific,adj./n.,平静的；平和的；太平洋的；太平洋,What a beautiful and pacific place this is,pacify v. 平息；安抚；使平静
自然地理,ocean,n.,海洋；洋,These creatures live in the depth of the Pacific Ocean,an ocean of/oceans of 大量
自然地理,marine,adj./n.,海洋的；海生的；海事的/水兵,It is true that a lot of people like marine plants as their food,a marine product 海产品；船用品
自然地理,navigation,n.,航海；航行,Navigation is a game for brave people,navigator n. 航海家；领航员
自然地理,gulf,n.,海湾,,
自然地理,beach,n.,海滩；河滩,,
自然地理,coast,n.,海岸；海滨,,
自然地理,shore,n.,（海、湖等大水域的）岸；滨,His ship pulled in to the shore at midnight,
自然地理,tide,n.,趋势；潮流；潮汐,The gravitational attraction between the moon and the earth causes tides,tidal adj. 潮汐的。at low tide 退潮时，低潮时。Time and tide wait for no man 岁月不等人
自然地理,current,n.,水流；潮流；电流；气流,He was swept away by the current,
自然地理,brook,n.,小河；溪,,
自然地理,stream,n./v.,小河；溪；流；流动；流出,On either bank of the stream stand rows of willow trees,willow n. 垂柳
自然地理,source,n.,河的源头；根源,,
自然地理,shallow,adj.,浅的；肤浅的；浅薄的,,
自然地理,superficial,adj.,表皮的；表层的,,
自然地理,flat,adj.,平躺的；扁平的；单调的,,
自然地理,smooth,adj.,光滑的；平稳的；流畅的,,
自然地理,rough,adj.,粗糙的；粗略的,,
自然地理,sandy,adj.,含沙的；铺满沙的,,
自然地理,stony,adj.,石头的；多石的,,
自然地理,vertical,adj.,垂直的；直立的,,
自然地理,steep,adj.,陡峭的,,
自然地理,parallel,n./adj./v.,平行线；相似之处/平行的/与...相似；比得上,There few parallels between American football and European football,unparalleled adj. 无比的；无双的
自然地理,narrow,adj./n.,狭窄的；有极限的,,
自然地理,Oceania,n.,大洋洲,,
自然地理,mainland,n.,大陆，本土,,
自然地理,peninsula,n.,半岛,,
自然地理,climate,n.,气候；风气，思潮，环境,,
自然地理,weather,n.,天气，气象,,
自然地理,meteorology,n.,气象学,,
自然地理,mild,adj.,温和的；不严重的,,
自然地理,heating,n.,供暖；暖气装置,,
自然地理,moderate,adj./v.,适度的；温和的；中等的/使缓和,"The wind was strong all day, but it moderated in the evening",a moderate climate 温和的气候
自然地理,warm,adj./v.,温暖的/（使）变暖,,
自然地理,thermal,adj.,热量的,,
自然地理,tropics,n.,热带地区,,
自然地理,arid,adj.,干燥的；干旱的；枯燥的,,
自然地理,moist,adj.,潮湿的；湿润的,,
自然地理,damp,adj.,湿气重的；潮湿的,,
自然地理,humid,adj.,潮湿的；湿热的,,
自然地理,snowy,adj.,下雪多的；被雪覆盖的,,
自然地理,frost,n.,霜；霜冻；严寒,,
自然地理,hail,n./v.,冰雹/赞扬；招呼；下冰雹,,
自然地理,thaw,v./n.,解冻；融解；融化/解冻时期,The sun thawed the ice and melted the snow,thaw sth./out 使...解冻；使...变暖
自然地理,chill,v./n.,使变冷；使恐惧/寒冷；害怕,The bad news cast a chill over the whole family,chilly adj./寒冷的；chill enthusiasm 使热情冷却
自然地理,freeze,v./n.,结冰；霜冻；严寒期,,
自然地理,frigid,adj.,寒冷的,Hohhot(呼和浩特) is a frigid city in the winter,the frigid zones 寒带
自然地理,tremble,v./n.,战栗；颤抖,,
自然地理,shiver,v.,颤抖；哆嗦；发抖,She was shivered because she was worried and afraid,shiver with cold 冻的发抖
自然地理,thunder,n./v.,雷；雷声/打雷；轰隆隆的快速移动,An express train thundered through the station,thunderstorm n. 雷雨
自然地理,lightning,n./v.,闪电/闪电般的，极快的,"During the storm, flashes of lightning appeared in the sky",lighten v. 使变轻；（使）发亮。lighter n. 打火机。lightly adv. 轻轻地；轻松地
自然地理,stormy,adj.,有暴风雨的；争吵激烈的；（大海）波涛汹涌的,,
自然地理,downpour,n.,倾盆大雨,,
自然地理,rainfall,n.,降雨量,,
自然地理,sprinkle,v./n.,撒；下小雨/少量；小雨,We've only had a few sprinkles of rain recently,sprinkle sth. on sth. 把某物撒到某物上
自然地理,rainbow,n.,彩虹,,
自然地理,shower,n.,阵；阵雨；淋浴,The weatherman predicts showers this afternoon,
自然地理,Celsius,adj./n.,摄氏的/摄氏温度,,Farhrenheit adj./n. 华氏的/华氏温度
自然地理,temperature,n.,气温；体温；温度,,take sb.'s temperature 给...量体温
自然地理,forecast,n./v.,预测；预报/预测；预言,,
自然地理,peak,n./v.,山峰；顶点；达到最大值,,
自然地理,mount,v./n.,渐渐增加；爬上；登上/山,,
自然地理,mountain,n.,山，山岳，高山,,mountainous adj. 多山的
自然地理,range,n.,山脉；范围,,in the range of 在...范围内；在...射程内
自然地理,ridge,n./v.,山脊；山脉/使隆起,,
自然地理,slope,v./n.,倾斜；有坡度；山坡；斜坡,,
自然地理,valley,n.,山谷；溪谷,,
自然地理,hillside,n.,小山的山腰；山坡,,
自然地理,overlook,v.,远眺；俯瞰；未注意到,The house on the hill overlooks the village,be easily overlook 容易被忽略的
自然地理,southern,adj.,南方的,,
自然地理,southeast,n./adj.,,,
自然地理,southwest,n./adj.,,,
自然地理,northeast,n./adj.,,,
自然地理,northwest,n./adj.,,,
自然地理,eastern,adj.,,,
自然地理,oriental,adj.,东方的（尤其指中日）,She has studied the cultures of oriental countries,
自然地理,inevitable,adj.,必然的；不可避免的,"Such a difficult operation may not succeed, but it's an inevitable gamble",evitable adj. 可避免的
自然地理,irreversible,adj.,不可逆转的；不可挽回的,,
自然地理,irregularly,adv.,不规则地；不合常规地,,
自然地理,inappropriate,adj.,不合适的,,
自然地理,abnormal,adj.,不正常的；反常的；变态的,,
自然地理,sediment,n.,沉积物；沉淀物,,
自然地理,silt,n./v.,淤泥；泥沙；使淤塞,,
自然地理,muddy,adj.,泥泞的；浑浊的,,
自然地理,clay,n.,黏土；陶土,,
自然地理,dirt,n.,污垢；灰尘；泥土,,
自然地理,rural,adj.,农村的；乡村的；田园的,,
自然地理,suburb,n.,郊区；郊外；近郊,,
自然地理,outskirts,n.,郊区；市郊,,
自然地理,remote,adj.,遥远的；偏僻的；疏远的,She came from a remote village,a remote control 遥控器
自然地理,desolate,adj.,荒凉的,,
自然地理,distant,adj.,疏远的；遥远的,,the distant past 遥远的过去
自然地理,adjacent,adj.,邻近的；毗连的,We stayed in adjacent rooms,adjacent to 与...毗连的
自然地理,toxic,adj.,有毒的,All medicines are toxic,poisonous adj. 有毒的；toxic waste 有毒的废物；highly toxic 剧毒的
自然地理,pollution,n.,,,
自然地理,pollutant,n.,污染物质,,
自然地理,contaminate,v.,污染；弄脏,,
自然地理,geology,n.,地质学；地质状况,,
自然地理,border,n./v.,边界；边界地区；镶边；和...毗邻；形成...边界,,
自然地理,margin,n.,边缘；页边空白；余地,There is no margin for error in our plan,allow a greater margin of 允许有更大的余地
自然地理,fringe,n./adj.,边缘；刘海/非主要的；次要的,We feel it's pretty good and we also offer some good fringe benefits,
自然地理,plate,n.,板块；盘,,
自然地理,debris,n.,碎片；残骸,,
自然地理,crack,v./n.,破裂；发出爆裂声/裂缝；缝隙,The door opened just a crack,cause a crack 弄出裂缝
自然地理,gap,n.,缺口；裂缝；差距；空白,,
自然地理,splendid,adj.,极好的；壮观的,You're all doing a splendid job; keep up the good work,a splendid chance极好的机会
自然地理,grand,adj.,宏大的；豪华的；宏伟的；极好的,,
自然地理,magnificent,adj.,壮丽的；宏伟的；令人印象深刻的,,
自然地理,super,adj.,,,
自然地理,interesting,adj.,,,
自然地理,dramatic,adj.,戏剧的；引人入胜的,,
自然地理,wilderness,n.,荒野,"From his attic window, he looked out over a beautiful wildernes",wild adj. 野生的；荒芜的。 attic 阁楼；顶楼
自然地理,desert,n./v.,/ˈdez.ət/ 沙漠/ /dɪˈzɜːt/遗弃,The baby's mother deserted him soon after giving birth,a cultural desert 文化沙漠
自然地理,deforest,v.,毁掉...深林,,deforestation n. 毁林，滥伐深林
自然地理,barren,adj.,贫瘠的；荒芜的；不结果实的,,
自然地理,fertile,adj.,富饶的；肥沃的,,
自然地理,fertilise/fertilize,v., 施肥于,,
自然地理,solar,adj.,太阳的；日光的,,
自然地理,lunar,adj.,月亮的；月球的,,
自然地理,calendar,n.,日历；历法,,
自然地理,sunrise,n.,日出,,
自然地理,sunset,n.,,,
自然地理,eclipse,n.,日食；月食,,
自然地理,dusk,n.,黄昏,,
自然地理,heaven,n.,天堂；极乐之地,,
自然地理,paradise,n.,天堂；乐园；福地,,
自然地理,sunshine,n.,阳光；日光,,
自然地理,shade,n./v.,阴影部分；背阴处；给...遮挡（光线）,,
自然地理,shadow,n.,影子,,
自然地理,vapour/vapor,n., 蒸汽；水汽,,与 steam 的区别是，steam 一般指的是水蒸气，vapor 泛指蒸汽，比如 mercury vapor 汞蒸汽
自然地理,evaporate,v.,使蒸发；消失,,
自然地理,circulate,v.,循环；流通；传播,,
自然地理,precipitate,v.,凝结；沉淀,Clouds usually precipitate as rain or snow,precipitation n. 沉淀；降水量；陡然下落
自然地理,reservoir,n.,水库；蓄水池,,
自然地理,waterfall,n.,,,
自然地理,fountain,n.,喷泉；源泉,,
自然地理,spring,n.,春天；泉水,,
自然地理,dew,n.,露水,,
自然地理,pour,v.,倾泻；倒；倾盆而下,,
自然地理,drain,v./n.,排空；流出；耗竭,,
自然地理,drip,v.,滴出（液体）；滴下,,
自然地理,drown,v.,淹死；浸泡,,
自然地理,blow,v./n.,吹；打击；挫折,,
自然地理,puff,v./n.,喷出；喘息；（吹出的）一股；一缕,Don't puff cigarette smoke in my face,
自然地理,gush,v./n.,涌出,,gush out 涌出；喷出；gush from 从...喷出
自然地理,dense,adj.,密集的；稠密的,,density n. 密度
自然地理,intensity,n.,强度；强烈,,
自然地理,intensive,adj.,加强的；集中的；密集的,,intensive care unit ICU
自然地理,emerge,v.,浮现；露出；暴露；摆脱出来,,
自然地理,flash,v./n.,,,flash through sb.'s mind 闪过某人脑海
自然地理,float,v.,,,
自然地理,environment,n.,,,
自然地理,surrounding,adj.,周围的；附近的,,
自然地理,condition,n.,条件；情况；状态,,
自然地理,situation,n.,,,
自然地理,nature,n.,,,
自然地理,natural,adj.,,,
自然地理,artificial,adj.,人造的,,
自然地理,synthetic,adj.,人造的；合成的,Nylon is a synthetic material; it is not from nature,
自然地理,petrol,n.,[英]汽油,,
自然地理,gas,n.,气体；[美]汽油,,
自然地理,gasoline,n.,[美]汽油,,
自然地理,petroleum,n.,石油,Petroleum is an important natural resource,petrology n. 岩石学
植物研究,photosynthesis,n.,光合作用,,
植物研究,respire,v.,呼吸,,相比于 breathe 更正式，但是 breath 更常用
植物研究,dioxide,n.,二氧化物,,
植物研究,vegetation,n.,植物；草木,There is not much vegetation in deserts,vegetable n. 蔬菜 vegetarian n. 素食者
植物研究,herb,n.,药草；香草,,
植物研究,perennial,n./adj.,多年生植物；长期的；持久的,These perennials should be planted where they can naturalize,
植物研究,botany,n.,植物学,,
植物研究,ecology,n.,生态学；生态,,
植物研究,ecosystem,n.,生态系统,,
植物研究,eco-friendly,adj.,对生态环境友好的,Attention to eco-friendly packaging is increasing,user-friendly adj. 便于使用的
植物研究,horticulture,n.,园艺学；园艺,Horticulture is the industry and science of plant cultivation,
植物研究,organism,n.,有机体；生物,,organ n. 器官
植物研究,genetics,n.,遗传学,"In genetics, genes were formerly called factors",gene n. 基因。genetic adj. 基因的
植物研究,mutation,n.,突变；变异,,
植物研究,variation,n.,变种；变异,,vary v. 变化
植物研究,diversity,n.,多样性,,
植物研究,hybridisation/hybridization,n.,杂交,,hybrid car
植物研究,classify,v.,分类,Librarians spend a lot of time classifying books,classified adj. 机密的；秘密的
植物研究,reproduce,v.,繁殖,,
植物研究,evolve,v.,进化；发展,,evolve from 从...进化而来
植物研究,fluctuate,v.,波动；起伏,,
植物研究,reclaim,v.,开垦；利用,This land was reclaimed from the sea,
植物研究,cultivate,v.,耕作；培养,The farmer is cultivating his land,cultivate the habit of 养成...的习惯
植物研究,sow,v.,播种,,
植物研究,harvest,v./n.,收割；收获；收成,A good summer harvest is not easy to come by,at the harvest
植物研究,pluck,v.,采；摘,The pluck a rose for his lover,
植物研究,pick,v.,拾；摘,,
植物研究,yield,v./n.,产出；屈服；服从；产量；投资收益,This land yields well,yielding adj. 易弯曲的；顺从的。unyielding adj. 坚硬的；不屈不挠的
植物研究,rear,v./n.,培养；抚养；饲养；后部,Most farmer in this area rear sheep,
植物研究,arable,adj.,适合耕种的,This area changed quickly from arable land to desert,
植物研究,plough/plow,n./v., 犁；耕,The ground was ploughed/plowed and planted with corn,
植物研究,spade,n.,铲；锹,He bought a new spade,
植物研究,rake,n./v.,耙子；耙；搜索,With an ancient rusty rake I went to work,rake up leaves 耙落叶；His is raking it in 他很赚钱
植物研究,stack,n./v.,堆；垛；堆积,I have a stack of homework to do,委婉的拒绝别人：I have stack of things to do. My friend has a stack of money that his is raking it in
植物研究,heap,n.,（大而杂乱的）堆,A heap of clothes was lying in the corner,
植物研究,bundle,n.,捆；包；束,He collected a bundle of sticks,
植物研究,bunch,n.,一束（花）；一串（钥匙）,I bought a bunch of lilacs 我买了一束丁香花,I'm sorry. I have a bunch of work to do 礼貌的回绝
植物研究,vase,n.,瓶；花瓶,This flaw makes the vase less valable,
植物研究,sunlight,n.,阳光,,
植物研究,short-day,adj.,短日照的,Soybean is a typical short-day corp 大豆是典型的短日照作物,
植物研究,shade-tolerant,adj.,耐阴的,,
植物研究,fungus,n.,真菌,,
植物研究,mould/mold,n./v., 霉菌/发霉,The walls were black with mould,
植物研究,pollen,n./v.,花粉；给...授粉,"Each spring, pollen from nearby plants is blown into the water",
植物研究,germinate,v.,发芽,Warmth is needed for the seeds to germinate,
植物研究,seed,n.,种子,The farmers were scattering seeds over the fields,seedling n. 秧苗；幼苗。sow seeds 播种
植物研究,burgeon,n./v.,嫩枝；新芽/极速生长；发芽；抽枝,,
植物研究,bud,n.,芽；苞；蓓蕾,The rose are in bud,break out into bud 发芽。buddy=bud 老兄
植物研究,flower,n./v.,花；开花植物/成熟；繁荣；开花,,
植物研究,blossom,v./n.,开花；花朵,The tree was covered with beautiful pink blossom,可以用于比喻，表示某事物或概念的发展、兴盛或繁荣。
植物研究,bloom,n.,花朵,The apple trees are out of bloom,
植物研究,scent,n./v.,气味；香味；使具有香味,The flower scents the air,
植物研究,aromatic,adj.,芳香的,Aromatic plants are often used in cooking,
植物研究,ripen,v.,使成熟,The sun ripens the corn,ripe adj. 熟的。ripener n. 催熟剂。Is this fruit ripe? 这个果子熟了么？
植物研究,fruit,v.,结果实,The apple trees fruited early this year,
植物研究,wither,v.,（使）枯萎,The grapes withered on the vine,withered adj. 凋谢了的；枯萎的
植物研究,decompose,v.,分解；腐烂,You can apply heat to decompose organic compounds 你可以加热来分解有机化合物,
植物研究,rot,v./n.,使腐烂；使腐坏；腐烂,,
植物研究,decay,v.,腐烂,,
植物研究,stale,adj.,不新鲜的；没有新意的；陈腐的,,
植物研究,rainforest,n.,雨林,,
植物研究,jungle,n.,丛林,,
植物研究,plantation,n.,种植园,,
植物研究,field,n.,原野；场地；野外,,
植物研究,terrace,n.,梯田,,
植物研究,timber,n.,木材；木料；林木,,
植物研究,charcoal,n.,木炭,,
植物研究,log,n.,原木；日志,,
植物研究,logo,n.,标识；徽标,,
植物研究,forestry,n.,林学；林业,,
植物研究,branch,n.,树枝；分支机构；分店,,
植物研究,trunk,n.,树干；躯干；大箱子,,
植物研究,bough,n.,大树枝,The window of his car was broken by a bough during last night's storm,
植物研究,root,n./v.,根；使生根,,root cause 根本原因
植物研究,hay,n.,干草,Make hay with sun shines,hit the hay 上床睡觉
植物研究,straw,n.,稻草；麦秆；吸管,This hat is made of straw,
植物研究,reed,n.,芦苇,The roof is made of dried reed,
植物研究,thorn,n.,刺；荆棘,She got her finger pricked by a thorn,thorny adj. 多刺的；棘手的；a thorn in my side/flesh 眼中钉、肉中刺
植物研究,weed,n.,杂草,,
植物研究,grass,n.,草；草地,,
植物研究,meadow,n.,草地；牧草,,
植物研究,lawn,n.,草地；草坪,My mother asked me to mow the lawn,
植物研究,olive,n.,橄榄；橄榄树,The olive branch is the emblem of peace. 橄榄枝是和平的象征,
植物研究,pine,n.,松树；松木,,
植物研究,vine,n.,葡萄藤,,
植物研究,violet,n.,紫罗兰,,
植物研究,tulip,n.,郁金香,,
植物研究,mint,n./v.,薄荷；铸币厂/铸造（硬币）,"We sat in the back row, sucking mints 我们坐在后排，嘴里咂着薄荷糖",
植物研究,reef,n.,暗礁,The ship was wrecked on a reef. 这船触礁失事了,
植物研究,alga,n.,海藻,Some of the algae are edible,algal adj. 海藻的。algae 复数形式
植物研究,enzyme,n.,酶,,
植物研究,catalyst,n.,催化剂；促进因素,A catalyst is a substance which speeds up a chemical reaction,a catalyst for changing 改变...的催化剂
植物研究,release,v./n.,释放；发布,,
植物研究,emission,n.,排放；散发；排放物,This conference aims to reduce carbon emissions or greenhouse gas emissions around this world,
植物研究,absorb,v.,吸收；吸引全部注意力,,
植物研究,circulation,n.,流通；循环；流传,Sea surface temperature and atmospheric circulation are strongly coupled,
植物研究,exceed,v.,超出,The driver exceeds the speed limit,exceed expectation 意料之外
植物研究,uptake,n.,摄取；领会,The doctor advised me to reduce the salt uptake,
植物研究,nutrient,n.,营养物质,The nutrient in the soil acts as a stimulus to growth in plants,nutrition n. 营养
植物研究,energy,n.,能源；精力,,
植物研究,surroundings,n.,环境可与environment互换,,
植物研究,mechanism,n.,机制；构造,Bones and muscles are parts of the mechanism of the body骨骼和肌肉是身体构造的一部分,
植物研究,counterbalance,n./v.,其平衡作用的事物；抵消；对...起平衡作用,,
植物研究,protect,v.,保护,,
植物研究,preserve,v.,保护；维持；保存,,
植物研究,conservation,n.,（对自然环境的）保护；保存,Some accommodation between conservation and tourism is essential. 对自然环境的保护和旅游业之前的相互协调是至关重要的 —— accommodation 除了有住宿还有和解协调的意思,conversation n. 交谈
植物研究,bush fire,n.,林区大火,,
植物研究,extinguish,v.,扑灭（火）；使（想法；感情等）破灭,They tried every means to extinguish the fire,
植物研究,destruct,v.,（使）自毁,,
植物研究,ruin,v./n.,毁坏；摧毁；毁灭；废墟,,
植物研究,perish,v.,毁灭；消亡；腐烂,Flowers perish when frost comes,
植物研究,demolish,v.,毁坏；拆除；推翻,The fire demolished the town,
植物研究,infringe,v.,侵犯；违反,The press infringed a copyright agreement,
植物研究,undermine,v.,破坏；逐渐削弱,,
植物研究,extinction,n.,灭绝,,extinct adj. 已灭绝的
植物研究,pattern,n.,模式；样式；底样,,
植物研究,outcome,n.,结果,We are anxiously awaiting the outcome of their discussion,
植物研究,impact,n.,影响,,
植物研究,seasonal,adj.,季节性的,,
植物研究,experimental,adj.,实验性的,,
植物研究,favourable/favorable,adj.,有利的；赞成的；肯定的,,
植物研究,productive,adj.,多产的,,
植物研究,effective,adj.,有效的,,
植物研究,efficient,adj.,效率高的,,
植物研究,considerable,adj.,相当多的,,
植物研究,massive,adj.,巨大的；大规模的；庞大的,,
植物研究,immense,adj.,巨大的；极好的,,
植物研究,maximal,adj.,最大的,,
植物研究,minimal,adj.,最小的,,
植物研究,optimal/optimum,adj., 最佳的；最理想的,,
动物保护,biologist,n.,生物学家,,
动物保护,zoologist,n.,动物学家,,
动物保护,ecologist,n.,生态学家,,
动物保护,botanist,n.,植物学家,,
动物保护,mammal,n.,哺乳动物,,
动物保护,primate,n.,灵长动物,,
动物保护,vertebrate,n.,脊椎动物,,
动物保护,reptile,n.,爬行动物,,
动物保护,amphibian,n./adj.,两栖动物/两栖的,,
动物保护,carnivore,n.,肉食动物,,
动物保护,herbivore,n.,食草动物,,
动物保护,creature,n.,生物；动物,,
动物保护,wildlife,n.,野生动我,,
动物保护,fauna,n.,（尤指某一地区的）动物群,"The park is also home to grizzly bears, and other Rocky Mountain faunas",
动物保护,flora,n.,（尤指某一地区的）植物群,,
动物保护,species,n.,物种,,
动物保护,flock,n./v.,（羊或鸟）群/聚集,Sheep usually flock together,
动物保护,herd,n.,兽群；畜群,The herdsman looks after a herd of animals,
动物保护,swarm,n.,（蜜蜂昆虫的）一大群；（快速移动的）人群,,
动物保护,throng,n./v.,人群/群集,,
动物保护,crowd,n.,人群；观众；一群人,,
动物保护,beast,n.,野兽；凶残的人；畜生,,
动物保护,brute,n.,粗野的人；残忍的人,We all want punish the brute,
动物保护,cruel,adj.,残忍的；残暴的,,
动物保护,originate,v.,发源；来自；创始,,
动物保护,derive,v.,得到；（使）源自,I derived a lot of pleasure from meeting new people at college,derive from/be derived from 源自；来自
动物保护,stem,v./n.,起源于；来自/茎；梗,Correct decisions stem from correct judgments,stem from 源自；起源于
动物保护,ancestor,n.,祖宗；祖先,,
动物保护,descendant,n./adj.,后裔；后代/下降的,,
动物保护,offspring,n.,后代；子孙；产物,,
动物保护,subgroup,n.,子群,"According to a subgroup analysis, violence produce more violence",
动物保护,feed,v.,供养；喂养；进食,,
动物保护,breed,v./n.,饲养；繁殖/品种,,
动物保护,interbreed,v.,（使）品种杂交,,
动物保护,hybridize/hybridise,v.,（使）杂交,,
动物保护,proliferate,v.,迅速增殖；剧增,,
动物保护,sterility,n.,不生育,This disease causes sterility in both males and females,
动物保护,mate,v./n.,交配/配偶,,
动物保护,courtship,n.,求偶,,
动物保护,lay,v.,产；放置；铺设,They lay eggs from the July to the middle of August,
动物保护,hatch,v./n.,孵化,,
动物保护,brood,n./v.,一窝幼鸟；孵（蛋）,The bird was trying to find food for its brood,
动物保护,spawn,n./v.,（鱼、蛙的）卵；产卵；引起,,
动物保护,mature,adj./v.,成熟的；成熟,"You are a mature man now, you are no longer a boy",immature adj. 不成熟的，未完全发育的
动物保护,skin,n.,皮肤,,
动物保护,claw,n./v.,爪；钳；鳌；爪状物/抓；挠；撕,,
动物保护,paw,n.,（动物的）脚掌；爪子,,
动物保护,beak,n.,鸟嘴；喙,,
动物保护,fin,n.,鳍,,
动物保护,wing,n.,翅膀,,
动物保护,plume,n.,羽毛,,
动物保护,feather,n.,羽毛,,"""plume"" 更强调装饰性和华丽，而 ""feather"" 则更通用，用于描述鸟类的普通羽毛"
动物保护,fur,n.,软毛；毛皮,,
动物保护,bristle,n.,鬃毛；短而硬的毛，刚毛,,
动物保护,curl,n./v.,卷曲；螺旋状物/（使）卷曲,,"""curl"" 更强调弯曲或卷曲的动作或形状，而 ""curve"" 更倾向于描述曲线的形状或者趋势。"
动物保护,insect,n.,昆虫,,
动物保护,worm,n.,蠕虫,,
动物保护,pest,n.,害虫；有害动物,,
动物保护,parasite,n.,寄生虫,The life of the parasite is maintained by new blood-sucking mosquitoes,
动物保护,spider,n.,蜘蛛,,
动物保护,butterfly,n.,蝴蝶,,
动物保护,mosquito,n.,蚊子,,
动物保护,cricket,n.,蟋蟀,,
动物保护,penguin,n.,企鹅,,
动物保护,seal,n./v.,海豹；封条；图章；密封,Polar bears set off in search of their favorite meal-seals,
动物保护,tortoise,n.,龟；陆龟,,
动物保护,turtle,n.,海龟,,
动物保护,whale,n./v.,鲸；捕鲸,,
动物保护,kangaroo,n.,袋鼠,,
动物保护,camel,n.,骆驼,,
